is_in_state,student_aid_index,adjusted_gross_income,first_gen,pell_eligible,hs_gpa,sat_act_percentile,institutional_tier,cost_of_attendance,miles_from_campus,fafsa_month_sin,fafsa_month_cos,demonstrated_interest,merit_scholarship_amt,need_grant_amt,net_price,enrolled,net_price_to_income_ratio,financial_aid_discount_rate,unmet_financial_need_gap,engagement_velocity,urban_centric_locale_Rural,urban_centric_locale_Suburb,urban_centric_locale_Town
0,47307.0,206264.0,0,0,3.61,70.0,1,50454.0,169.8,0.5,-0.866,40.0,22292.0,820.0,27342.0,1,0.12451587469756756,0.4581,0.0,0.2286,0,1,0
1,3408.0,28634.0,0,1,3.82,93.0,0,18794.0,10.3,-1.0,-0.0,48.4,1404.0,8103.0,9287.0,1,0.2808840179507816,0.5059,5879.0,0.047,0,0,0
0,4787.0,35389.0,0,1,3.14,65.0,3,84829.0,82.8,-0.866,-0.5,20.8,23787.0,33635.0,27407.0,1,0.5734623376139655,0.6769,22620.0,0.0079,0,1,0
0,10077.0,40054.0,1,0,2.37,41.0,1,53197.0,64.8,1.0,0.0,70.1,15334.0,6499.0,31364.0,0,0.5782973388810033,0.4104,21287.0,0.0759,0,0,0
0,16174.0,46827.0,0,0,2.12,32.0,0,20468.0,45.0,0.5,-0.866,57.7,2764.0,803.0,16901.0,0,0.30814624558413484,0.1743,727.0,0.0775,0,0,0
0,11362.0,62235.0,0,0,2.65,32.0,1,45873.0,131.5,0.866,-0.5,61.0,10551.0,5119.0,30203.0,0,0.39561677205335,0.3416,18841.0,0.0617,0,1,0
0,31726.0,125514.0,0,0,3.13,42.0,4,66788.0,15.0,0.866,0.5,90.1,22774.0,6046.0,37968.0,1,0.2642854946453849,0.4315,6242.0,0.1048,0,1,0
0,13473.0,87747.0,0,0,2.95,51.0,4,83462.0,91.0,0.866,0.5,41.3,28168.0,16177.0,39117.0,1,0.3686628015840597,0.5313,25644.0,0.1,1,0,0
0,10312.0,65763.0,1,0,2.09,27.0,1,43637.0,115.2,-0.5,-0.866,63.8,8529.0,4792.0,30316.0,0,0.37912113276856246,0.3053,20004.0,0.137,0,0,1
0,13464.0,76837.0,0,0,3.21,64.0,0,22527.0,30.4,-0.5,-0.866,36.9,4276.0,1588.0,16663.0,0,0.19630664136061732,0.2603,3199.0,0.1169,1,0,0
0,21448.0,98644.0,1,0,3.07,33.0,1,38497.0,620.6,-0.5,-0.866,84.3,12632.0,3832.0,22033.0,1,0.20163386782632742,0.4277,585.0,0.0545,0,0,1
0,3121.0,18754.0,1,1,3.68,82.0,1,42060.0,67.9,0.866,0.5,47.4,18808.0,19515.0,3737.0,0,0.18173805325553832,0.9112,616.0,0.0714,0,0,1
0,34625.0,136154.0,0,0,3.21,50.0,4,86510.0,98.7,0.866,-0.5,94.2,29851.0,12285.0,44374.0,0,0.282091474138536,0.4871,9749.0,0.0752,0,0,0
0,11406.0,34717.0,0,0,2.08,20.0,2,66462.0,68.0,0.5,0.866,45.4,7838.0,12424.0,46200.0,0,0.846211556286782,0.3049,34794.0,0.0365,0,1,0
1,14503.0,45737.0,1,0,3.09,71.0,0,20868.0,33.7,-0.5,-0.866,67.0,3636.0,1047.0,16185.0,1,0.30298931651892813,0.2244,1682.0,0.1029,0,0,0
0,15591.0,80428.0,0,0,3.75,51.0,3,83733.0,500.4,0.866,0.5,71.1,21935.0,16991.0,44807.0,0,0.44282511686524195,0.4649,29216.0,0.0916,0,0,0
0,7523.0,59618.0,0,1,3.72,99.0,0,19529.0,1700.2,0.866,0.5,77.5,665.0,4199.0,14665.0,0,0.2199384203652614,0.2491,7142.0,0.1263,0,0,0
0,20823.0,89374.0,0,0,2.63,27.0,1,52819.0,277.2,0.866,0.5,42.6,10401.0,7861.0,34557.0,1,0.3269268237776815,0.3457,13734.0,0.0458,0,0,1
0,20810.0,69711.0,0,0,3.49,87.0,4,79828.0,397.1,0.5,0.866,41.4,36883.0,11256.0,31689.0,0,0.37473094873830326,0.603,10879.0,0.0504,0,0,1
0,9997.0,51107.0,1,0,3.27,76.0,0,20395.0,768.2,1.0,0.0,56.6,2510.0,2103.0,15782.0,0,0.2691106868663456,0.2262,5785.0,0.1667,1,0,0
0,46825.0,189228.0,0,0,2.89,47.0,0,19643.0,164.5,0.866,-0.5,72.6,1471.0,0.0,18172.0,1,0.0916671885258238,0.0749,0.0,0.038,1,0,0
0,17678.0,104800.0,0,0,3.21,69.0,0,18473.0,658.9,0.5,0.866,62.9,2689.0,130.0,15654.0,1,0.1392400670915041,0.1526,0.0,0.0783,1,0,0
0,10718.0,78239.0,0,0,3.42,62.0,4,81823.0,291.2,1.0,0.0,80.4,31664.0,15997.0,34162.0,0,0.36227921065856417,0.5825,23444.0,0.0938,0,0,0
0,20022.0,103633.0,0,0,3.01,33.0,1,46389.0,147.4,-0.0,1.0,37.9,15337.0,6626.0,24426.0,1,0.2116376111280077,0.4735,4404.0,0.0357,1,0,0
0,5872.0,37879.0,1,1,3.02,71.0,2,59070.0,183.0,1.0,0.0,60.4,20816.0,18007.0,20247.0,0,0.4282045950776538,0.6572,14375.0,0.0361,0,0,1
0,77019.0,301292.0,0,0,2.63,32.0,1,35171.0,18.7,1.0,0.0,59.6,9041.0,0.0,26130.0,1,0.08314558108666886,0.2571,0.0,0.0783,1,0,0
0,5217.0,28765.0,0,1,3.79,99.0,1,41350.0,172.2,0.5,-0.866,56.9,22028.0,12989.0,6333.0,0,0.19901477973561502,0.8468,1116.0,0.0385,0,0,0
0,13400.0,68287.0,0,0,3.09,70.0,2,53225.0,25.1,1.0,0.0,71.6,19237.0,9782.0,24206.0,1,0.30343238254301275,0.5452,10806.0,0.1525,0,0,0
0,5476.0,51214.0,0,1,2.68,32.0,1,38540.0,23.0,0.5,0.866,85.1,11494.0,14677.0,12369.0,0,0.21632032596608425,0.6791,6893.0,0.0758,1,0,0
0,3722.0,49832.0,1,1,2.26,35.0,1,41050.0,155.1,-1.0,-0.0,49.0,9704.0,15216.0,16130.0,1,0.28043084573758803,0.6071,12408.0,0.0465,0,0,0
0,7723.0,45385.0,1,1,3.74,90.0,4,84622.0,39.3,-1.0,-0.0,51.2,40036.0,39205.0,5381.0,0,0.11207790340535054,0.9364,0.0,0.0473,0,1,0
0,3696.0,36112.0,0,1,3.06,80.0,1,46667.0,125.8,-0.866,-0.5,61.9,21060.0,15489.0,10118.0,1,0.24701631572576596,0.7832,6422.0,0.0635,0,1,0
0,32714.0,148095.0,0,0,2.26,21.0,0,21578.0,146.5,0.866,0.5,67.9,1883.0,0.0,19695.0,0,0.12486898204586927,0.0873,0.0,0.0984,0,0,0
0,2774.0,26439.0,0,1,2.28,25.0,1,49331.0,153.6,0.866,-0.5,79.5,10012.0,22846.0,16473.0,1,0.4843379009288878,0.6661,13699.0,0.1176,0,0,0
